sample	true_super_pop	kmeans	ward
NA19024	AFR	0	1
HG03117	AFR	0	1
NA19238	AFR	0	1
HG01956	AFR	0	1
HG00284	EUR	4	0
NA19404	AFR	0	1
HG01530	EUR	4	0
NA19445	AFR	0	1
HG01200	AMR	4	0
NA20532	EUR	4	0
HG01086	AMR	4	0
NA18934	AFR	0	1
HG03595	SAS	1	3
HG02078	EAS	2	2
NA19307	AFR	0	1
NA18878	AFR	0	1
HG00157	EUR	4	0
HG00732	AMR	4	0
HG03460	AFR	0	1
HG01088	AMR	4	0
HG03913	SAS	1	3
HG01377	AMR	4	0
NA20764	EUR	4	0
HG00321	EUR	4	0
HG03998	SAS	1	3
HG03629	SAS	1	3
NA19189	AFR	0	1
HG02860	AFR	0	1
HG02878	AFR	0	1
HG04173	SAS	1	3
NA20885	SAS	1	3
HG00557	EAS	2	2
HG04194	SAS	1	3
NA18505	AFR	0	1
HG00614	EAS	2	2
NA18612	EAS	2	2
HG02685	SAS	1	3
HG01527	EUR	4	0
NA18991	EAS	2	2
HG02070	EAS	2	2
HG00188	EUR	4	0
HG02888	AFR	0	1
HG00369	EUR	4	0
HG03740	SAS	1	3
HG01341	AMR	3	0
HG03547	AFR	0	1
HG01518	EUR	4	0
HG00360	EUR	4	0
HG02052	AFR	0	1
HG00620	EAS	2	2
NA19063	EAS	2	2
HG03520	AFR	0	1
NA19059	EAS	2	2
NA19108	AFR	0	1
HG03472	AFR	0	1
NA18988	EAS	2	2
HG02064	EAS	2	2
HG02660	SAS	1	3
HG01924	AMR	3	4
HG03397	AFR	0	1
NA19471	AFR	0	1
NA20827	EUR	4	0
HG02356	EAS	2	2
NA19704	AFR	0	1
NA18571	EAS	2	2
HG00378	EUR	4	0
HG01806	EAS	2	2
HG04216	SAS	1	3
HG02861	AFR	0	1
HG00273	EUR	4	0
HG01060	AMR	4	0
HG00255	EUR	4	0
NA19327	AFR	0	1
HG02485	AFR	0	1
HG03190	AFR	0	1
HG03718	SAS	1	3
HG01360	AMR	4	0
NA18748	EAS	2	2
HG03198	AFR	0	1
HG02278	AMR	3	4
HG00311	EUR	4	0
NA19037	AFR	0	1
HG03999	SAS	1	3
NA20533	EUR	4	0
HG00313	EUR	4	0
NA19792	AMR	4	0
HG00306	EUR	4	0
NA18876	AFR	0	1
HG01802	EAS	2	2
HG02477	AFR	0	1
NA18993	EAS	2	2
HG03046	AFR	0	1
NA19713	AFR	0	0
HG02182	EAS	2	2
HG03788	SAS	1	3
HG00272	EUR	4	0
HG00173	EUR	4	0
HG00123	EUR	4	0
HG03265	AFR	0	1
NA18987	EAS	2	2
HG01378	AMR	3	0
NA19213	AFR	0	1
